threads,records,total sec,mean millis,ops/sec,p0.1 millis,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,1000000,56,0.053,17857.143,0.041,0.043,0.045,0.162,0.227,0.358
5,1000000,14,0.064,71428.571,0.047,0.055,0.063,0.162,0.276,2.030
10,1000000,13,0.116,76923.077,0.068,0.104,0.137,0.260,0.424,6.814
15,1000000,14,0.181,71428.571,0.076,0.178,0.236,0.424,0.653,9.435
20,1000000,16,0.284,62500.000,0.080,0.309,0.408,0.621,0.948,8.911
25,1000000,17,0.375,58823.529,0.084,0.440,0.588,0.817,1.505,8.911
30,1000000,16,0.433,62500.000,0.084,0.555,0.686,0.948,1.374,14.678
50,1000000,16,0.745,62500.000,0.080,1.112,1.243,1.571,2.226,54.524
100,1000000,17,1.596,58823.529,0.076,2.619,2.750,3.406,13.105,39.844
150,1000000,19,2.630,52631.579,0.076,4.192,4.717,6.027,13.105,176.159
200,1000000,21,3.896,47619.048,0.080,6.552,7.076,8.124,24.115,184.547
