threads,records,written mb,avg record size bytes,total sec,mean millis,ops/sec,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis,comment
1,5000000,2500000,512,168.9,0.030,29612,0.045,0.086,0.205,0.278,6.291
4,5000000,2500000,512,149.4,0.110,33457,0.147,0.311,0.950,2.752,27.262
8,5000000,2500000,512,160.0,0.241,31241,0.311,0.655,2.228,6.815,33.554
16,5000000,2500000,512,160.1,0.482,31228,0.557,1.441,4.718,13.631,37.748
32,5000000,2500000,512,155.1,0.940,32233,1.048,3.145,8.388,31.457,44.040
50,5000000,2500000,512,147.3,1.392,33939,1.638,4.980,12.058,33.554,52.428
100,5000000,2500000,512,151.1,2.859,33090,3.670,9.961,33.554,50.331,117.440
160,5000000,2500000,512,164.4,4.940,30422,6.553,16.252,50.331,79.691,125.829
200,5000000,2500000,512,196.3,7.426,25471,10.485,24.117,71.303,109.051,121.634
